# AIRGLOW LINE LIST for SKYCORR (Noll et al. 2013)
# based on
# - Hanuschik (2003) and Cosby et al. (2006) UVES line atlas
#   for optical non-OH lines and OH lines with delta v >= 4
#   (scaled to mean intensities of the Patat (2008) FORS1 data set)
# - OH calculations of Rousselot et al. (2000)
#   for Einstein coefficients of Goldman et al. (1998) instead of Mies (1974)
#   (scaled to the measured OH intensities in the optical)
# - O2 bands at 1.27 and 1.58 mum from the HITRAN database for 200 K
#   (scaled to match mean O2/OH band flux ratios of an XSHOOTER NIR data set)
# Meaning of Columns:
# Wavelength: line centres in vacuum and mum
# Flux: unextincted line flux in phot/sm2as2
# Trans: absorption-related transmission at zenith for Cerro Paranal mean
#        conditions
# Different variability classes are indicated:
# Type: 1: OI5577, 2: NaID, 3: OIred, 4: OH, 5: O2
# Flag for roto-vibrational systems (A and B groups defined):
# System: 0: no B groups defined, 1: OH, 2: O2(b-X), 3: O2(a-X)
# Fine classification by two group IDs:
# GroupA: e.g. same electronic states or vibrational transitions
# GroupB: e.g. same rotational upper levels
# For more details: SKYCORR user manual and Noll et al. (2012, A&A 543, A92)
# Wavelength[mum] Flux[phot/sm2as2] Trans[X=1] Type System GroupA GroupB
0.354522   0.0027 0.999393  5  0 41  0                                          
0.354562   0.0023 0.999395  5  0 41  0                                          
0.354616   0.0014 0.999399  5  0 41  0                                          
0.354656   0.0007 0.999395  5  0 41  0                                          
0.354722   0.0024 0.999387  5  0 41  0                                          
0.354768   0.0029 0.999376  5  0 41  0                                          
0.354822   0.0009 0.999356  5  0 39  0                                          
0.354895   0.0027 0.999339  5  0 41  0                                          
0.354985   0.0007 0.999337  5  0 41  0                                          
0.355037   0.0020 0.999324  5  0 41  0                                          
0.355139   0.0018 0.999272  5  0 41  0                                          
0.355194   0.0023 0.999240  5  0 41  0                                          
0.355369   0.0015 0.999161  5  0 41  0                                          
0.355420   0.0010 0.999153  5  0 39  0                                          
0.355499   0.0026 0.999153  5  0 39  0                                          
0.355539   0.0010 0.999155  5  0 39  0                                          
0.355561   0.0020 0.999157  5  0 41  0                                          
0.355579   0.0007 0.999159  5  0 41  0                                          
0.355615   0.0005 0.999162  5  0 39  0                                          
0.355660   0.0019 0.999162  5  0 39  0                                          
0.355690   0.0009 0.999159  5  0 39  0                                          
0.355710   0.0032 0.999156  5  0 41  0                                          
0.355768   0.0014 0.999139  5  0 41  0                                          
0.355790   0.0003 0.999129  5  0 41  0                                          
0.355886   0.0021 0.999082  5  0 39  0                                          
0.355913   0.0014 0.999066  5  0 39  0                                          
0.355938   0.0027 0.999052  5  0 39  0                                          
0.355993   0.0010 0.999027  5  0 41  0                                          
0.356166   0.0029 0.999001  5  0 39  0                                          
0.356191   0.0008 0.998998  5  0 39  0                                          
0.356218   0.0025 0.998993  5  0 39  0                                          
0.356232   0.0016 0.998991  5  0 41  0                                          
0.356259   0.0008 0.998986  5  0 41  0                                          
0.356418   0.0009 0.998951  5  0 41  0                                          
0.356494   0.0074 0.998909  5  0 41  0                                          
0.356522   0.0028 0.998884  5  0 39  0                                          
0.356552   0.0016 0.998849  5  0 39  0                                          
0.356761   0.0012 0.998560  5  0 41  0                                          
0.356884   0.0023 0.998461  5  0 39  0                                          
0.356894   0.0008 0.998455  5  0 39  0                                          
0.356939   0.0019 0.998440  5  0 39  0                                          
0.357880   0.0011 0.998068  5  0 39  0                                          
0.358376   0.0011 0.997777  5  0 41  0                                          
0.361638   0.0016 0.997328  5  0 41  0                                          
0.361665   0.0017 0.997361  5  0 41  0                                          
0.361707   0.0024 0.997413  5  0 41  0                                          
0.361765   0.0012 0.997488  5  0 41  0                                          
0.361810   0.0011 0.997546  5  0 41  0                                          
0.361839   0.0018 0.997583  5  0 41  0                                          
0.361889   0.0015 0.997647  5  0 41  0                                          
0.361929   0.0018 0.997698  5  0 41  0                                          
